date,split,seed,model,n_queries,n_pairs,ndcg10_mean,ndcg10_std,wall_s,pairs_per_s,k_candidates,max_seq_len,batch_size,fp16,torch,transformers,sentence_transformers,ir_datasets,arm
2022-10,train,2,jinaai/jina-reranker-v2-base-multilingual,1000,99903,0.382243218432974,0.39005020857513645,257.63,387.8,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-10,train,42,jinaai/jina-reranker-v2-base-multilingual,1000,99804,0.391041584667842,0.3897871153033471,278.29,358.6,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-11,train,1,bm25,1000,99546,0.2502700086017255,0.3468924398187337,0.0,74345830.8,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-11,train,2,bm25,1000,99805,0.22791735631877702,0.32144540735568433,0.0,73337861.0,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-11,train,42,bm25,1000,99812,0.23062577376224322,0.32896568145111443,0.0,58249877.7,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-11,train,1,jinaai/jina-reranker-v2-base-multilingual,1000,99546,0.3924169712752783,0.40014747314549176,240.25,414.3,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-11,train,2,jinaai/jina-reranker-v2-base-multilingual,1000,99805,0.4005908219872931,0.3961896665358107,240.34,415.3,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-11,train,42,jinaai/jina-reranker-v2-base-multilingual,1000,99812,0.363209756806971,0.3853108821232911,279.3,357.4,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-12,train,1,bm25,1000,99674,0.24889300187813407,0.33607087505660405,0.0,72266734.1,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-12,train,2,bm25,1000,99945,0.25626895426704394,0.32557964787068383,0.0,58052861.6,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-12,train,42,bm25,1000,99637,0.2600309366985286,0.3315956193843584,0.14,711761.4,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2022-12,train,1,jinaai/jina-reranker-v2-base-multilingual,1000,99674,0.37162217883529275,0.3886493937409582,248.6,400.9,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-12,train,2,jinaai/jina-reranker-v2-base-multilingual,1000,99945,0.40560500062095417,0.38119163590248656,249.53,400.5,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2022-12,train,42,jinaai/jina-reranker-v2-base-multilingual,1000,99637,0.3943768862476429,0.3852559668365885,270.75,368.0,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-01,train,1,bm25,1000,99680,0.25768971331282853,0.33895117950949105,0.0,73594124.8,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-01,train,2,bm25,1000,99949,0.2650191231030988,0.34044980632927635,0.0,72403538.9,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-01,train,42,bm25,1000,99801,0.2511734563163035,0.32696150421890385,0.0,58211060.1,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-01,train,1,jinaai/jina-reranker-v2-base-multilingual,1000,99680,0.40006287662574896,0.39105554315115604,242.23,411.5,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-01,train,2,jinaai/jina-reranker-v2-base-multilingual,1000,99949,0.4217584771998019,0.396489216661411,242.98,411.4,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-01,train,42,jinaai/jina-reranker-v2-base-multilingual,1000,99801,0.4101032347821234,0.39022137362691334,246.13,405.5,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-02,train,1,bm25,1000,99917,0.2627421582960202,0.3427671091434624,0.0,73925255.4,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-02,train,2,bm25,1000,99949,0.25557609952135807,0.34443406420687755,0.0,74395118.1,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-02,train,42,bm25,1000,99526,0.2590284675689607,0.33808146221801794,0.0,58002264.8,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-02,train,1,jinaai/jina-reranker-v2-base-multilingual,1000,99917,0.405250112626687,0.4003672346088479,241.84,413.2,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-02,train,2,jinaai/jina-reranker-v2-base-multilingual,1000,99949,0.3823667461989955,0.4002422737150271,242.32,412.5,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-02,train,42,jinaai/jina-reranker-v2-base-multilingual,1000,99526,0.4052966234270608,0.3993532238495962,244.56,407.0,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-03,test,1,bm25,1000,100000,0.2616229521285248,0.3401122745675417,0.0,70969610.8,100,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-03,test,2,bm25,1000,99720,0.27036863139809203,0.35092623042037424,0.0,72075822.0,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-03,test,42,bm25,1000,99759,0.277557911692703,0.35928209749607076,0.0,55236907.3,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-03,test,1,jinaai/jina-reranker-v2-base-multilingual,1000,100000,0.3963465036226717,0.39604854115491084,235.67,424.3,100,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-03,test,2,jinaai/jina-reranker-v2-base-multilingual,1000,99720,0.4119044135383263,0.40497968405185664,235.22,423.9,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-03,test,42,jinaai/jina-reranker-v2-base-multilingual,1000,99759,0.39914051933612676,0.40614658862431685,237.92,419.3,99,512,64,True,2.12.0+cu126,4.57.6,5.5.1,0.5.11,jina-v2
2023-04,test,1,bm25,1000,99825,0.273682896927013,0.35247597581501916,0.0,73909337.5,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-04,test,2,bm25,1000,99893,0.2699279270551807,0.35447390617371755,0.0,73006030.6,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
2023-04,test,42,bm25,1000,99789,0.28348569566088905,0.343602431012253,0.0,59334477.2,99,512,64,False,2.12.0+cu126,4.57.6,5.5.1,0.5.11,bm25
